 frequency  vod_mag   
 3.162e+04  4.022e+00 
 3.236e+04  4.022e+00 
 3.311e+04  4.022e+00 
 3.388e+04  4.022e+00 
 3.467e+04  4.022e+00 
 3.548e+04  4.022e+00 
 3.631e+04  4.022e+00 
 3.715e+04  4.022e+00 
 3.802e+04  4.022e+00 
 3.890e+04  4.022e+00 
 3.981e+04  4.022e+00 
 4.074e+04  4.022e+00 
 4.169e+04  4.022e+00 
 4.266e+04  4.022e+00 
 4.365e+04  4.022e+00 
 4.467e+04  4.022e+00 
 4.571e+04  4.022e+00 
 4.677e+04  4.022e+00 
 4.786e+04  4.022e+00 
 4.898e+04  4.022e+00 
 5.012e+04  4.022e+00 
 5.129e+04  4.022e+00 
 5.248e+04  4.022e+00 
 5.370e+04  4.022e+00 
 5.495e+04  4.022e+00 
 5.623e+04  4.022e+00 
 5.754e+04  4.022e+00 
 5.888e+04  4.022e+00 
 6.026e+04  4.022e+00 
 6.166e+04  4.022e+00 
 6.310e+04  4.022e+00 
 6.457e+04  4.022e+00 
 6.607e+04  4.022e+00 
 6.761e+04  4.022e+00 
 6.918e+04  4.022e+00 
 7.079e+04  4.022e+00 
 7.244e+04  4.022e+00 
 7.413e+04  4.022e+00 
 7.586e+04  4.022e+00 
 7.762e+04  4.022e+00 
 7.943e+04  4.022e+00 
 8.128e+04  4.022e+00 
 8.318e+04  4.022e+00 
 8.511e+04  4.022e+00 
 8.710e+04  4.022e+00 
 8.913e+04  4.022e+00 
 9.120e+04  4.022e+00 
 9.333e+04  4.022e+00 
 9.550e+04  4.022e+00 
 9.772e+04  4.022e+00 
 1.000e+05  4.022e+00 
 1.023e+05  4.022e+00 
 1.047e+05  4.022e+00 
 1.072e+05  4.022e+00 
 1.096e+05  4.022e+00 
 1.122e+05  4.022e+00 
 1.148e+05  4.022e+00 
 1.175e+05  4.022e+00 
 1.202e+05  4.022e+00 
 1.230e+05  4.022e+00 
 1.259e+05  4.022e+00 
 1.288e+05  4.022e+00 
 1.318e+05  4.022e+00 
 1.349e+05  4.022e+00 
 1.380e+05  4.022e+00 
 1.413e+05  4.022e+00 
 1.445e+05  4.022e+00 
 1.479e+05  4.022e+00 
 1.514e+05  4.022e+00 
 1.549e+05  4.022e+00 
 1.585e+05  4.022e+00 
 1.622e+05  4.022e+00 
 1.660e+05  4.022e+00 
 1.698e+05  4.022e+00 
 1.738e+05  4.022e+00 
 1.778e+05  4.022e+00 
 1.820e+05  4.022e+00 
 1.862e+05  4.022e+00 
 1.905e+05  4.022e+00 
 1.950e+05  4.022e+00 
 1.995e+05  4.022e+00 
 2.042e+05  4.022e+00 
 2.089e+05  4.022e+00 
 2.138e+05  4.022e+00 
 2.188e+05  4.022e+00 
 2.239e+05  4.022e+00 
 2.291e+05  4.022e+00 
 2.344e+05  4.022e+00 
 2.399e+05  4.022e+00 
 2.455e+05  4.022e+00 
 2.512e+05  4.022e+00 
 2.570e+05  4.022e+00 
 2.630e+05  4.022e+00 
 2.692e+05  4.022e+00 
 2.754e+05  4.022e+00 
 2.818e+05  4.022e+00 
 2.884e+05  4.022e+00 
 2.951e+05  4.022e+00 
 3.020e+05  4.022e+00 
 3.090e+05  4.022e+00 
 3.162e+05  4.022e+00 
 3.236e+05  4.022e+00 
 3.311e+05  4.022e+00 
 3.388e+05  4.022e+00 
 3.467e+05  4.022e+00 
 3.548e+05  4.022e+00 
 3.631e+05  4.022e+00 
 3.715e+05  4.022e+00 
 3.802e+05  4.022e+00 
 3.890e+05  4.022e+00 
 3.981e+05  4.022e+00 
 4.074e+05  4.022e+00 
 4.169e+05  4.022e+00 
 4.266e+05  4.022e+00 
 4.365e+05  4.022e+00 
 4.467e+05  4.022e+00 
 4.571e+05  4.022e+00 
 4.677e+05  4.022e+00 
 4.786e+05  4.022e+00 
 4.898e+05  4.022e+00 
 5.012e+05  4.022e+00 
 5.129e+05  4.022e+00 
 5.248e+05  4.022e+00 
 5.370e+05  4.022e+00 
 5.495e+05  4.022e+00 
 5.623e+05  4.022e+00 
 5.754e+05  4.022e+00 
 5.888e+05  4.022e+00 
 6.026e+05  4.022e+00 
 6.166e+05  4.022e+00 
 6.310e+05  4.022e+00 
 6.457e+05  4.022e+00 
 6.607e+05  4.022e+00 
 6.761e+05  4.022e+00 
 6.918e+05  4.022e+00 
 7.079e+05  4.022e+00 
 7.244e+05  4.022e+00 
 7.413e+05  4.022e+00 
 7.586e+05  4.022e+00 
 7.762e+05  4.022e+00 
 7.943e+05  4.022e+00 
 8.128e+05  4.022e+00 
 8.318e+05  4.022e+00 
 8.511e+05  4.022e+00 
 8.710e+05  4.022e+00 
 8.913e+05  4.022e+00 
 9.120e+05  4.022e+00 
 9.333e+05  4.022e+00 
 9.550e+05  4.022e+00 
 9.772e+05  4.022e+00 
 1.000e+06  4.022e+00 
 1.023e+06  4.022e+00 
 1.047e+06  4.021e+00 
 1.072e+06  4.021e+00 
 1.096e+06  4.021e+00 
 1.122e+06  4.021e+00 
 1.148e+06  4.021e+00 
 1.175e+06  4.021e+00 
 1.202e+06  4.021e+00 
 1.230e+06  4.021e+00 
 1.259e+06  4.021e+00 
 1.288e+06  4.021e+00 
 1.318e+06  4.021e+00 
 1.349e+06  4.021e+00 
 1.380e+06  4.021e+00 
 1.413e+06  4.021e+00 
 1.445e+06  4.021e+00 
 1.479e+06  4.021e+00 
 1.514e+06  4.021e+00 
 1.549e+06  4.021e+00 
 1.585e+06  4.021e+00 
 1.622e+06  4.021e+00 
 1.660e+06  4.021e+00 
 1.698e+06  4.021e+00 
 1.738e+06  4.021e+00 
 1.778e+06  4.021e+00 
 1.820e+06  4.020e+00 
 1.862e+06  4.020e+00 
 1.905e+06  4.020e+00 
 1.950e+06  4.020e+00 
 1.995e+06  4.020e+00 
 2.042e+06  4.020e+00 
 2.089e+06  4.020e+00 
 2.138e+06  4.020e+00 
 2.188e+06  4.020e+00 
 2.239e+06  4.020e+00 
 2.291e+06  4.020e+00 
 2.344e+06  4.020e+00 
 2.399e+06  4.019e+00 
 2.455e+06  4.019e+00 
 2.512e+06  4.019e+00 
 2.570e+06  4.019e+00 
 2.630e+06  4.019e+00 
 2.692e+06  4.019e+00 
 2.754e+06  4.019e+00 
 2.818e+06  4.018e+00 
 2.884e+06  4.018e+00 
 2.951e+06  4.018e+00 
 3.020e+06  4.018e+00 
 3.090e+06  4.018e+00 
 3.162e+06  4.017e+00 
 3.236e+06  4.017e+00 
 3.311e+06  4.017e+00 
 3.388e+06  4.017e+00 
 3.467e+06  4.017e+00 
 3.548e+06  4.016e+00 
 3.631e+06  4.016e+00 
 3.715e+06  4.016e+00 
 3.802e+06  4.015e+00 
 3.890e+06  4.015e+00 
 3.981e+06  4.015e+00 
 4.074e+06  4.015e+00 
 4.169e+06  4.014e+00 
 4.266e+06  4.014e+00 
 4.365e+06  4.013e+00 
 4.467e+06  4.013e+00 
 4.571e+06  4.013e+00 
 4.677e+06  4.012e+00 
 4.786e+06  4.012e+00 
 4.898e+06  4.011e+00 
 5.012e+06  4.011e+00 
 5.129e+06  4.010e+00 
 5.248e+06  4.010e+00 
 5.370e+06  4.009e+00 
 5.495e+06  4.008e+00 
 5.623e+06  4.008e+00 
 5.754e+06  4.007e+00 
 5.888e+06  4.006e+00 
 6.026e+06  4.006e+00 
 6.166e+06  4.005e+00 
 6.310e+06  4.004e+00 
 6.457e+06  4.003e+00 
 6.607e+06  4.003e+00 
 6.761e+06  4.002e+00 
 6.918e+06  4.001e+00 
 7.079e+06  4.000e+00 
 7.244e+06  3.999e+00 
 7.413e+06  3.998e+00 
 7.586e+06  3.996e+00 
 7.762e+06  3.995e+00 
 7.943e+06  3.994e+00 
 8.128e+06  3.993e+00 
 8.318e+06  3.991e+00 
 8.511e+06  3.990e+00 
 8.710e+06  3.988e+00 
 8.913e+06  3.987e+00 
 9.120e+06  3.985e+00 
 9.333e+06  3.983e+00 
 9.550e+06  3.982e+00 
 9.772e+06  3.980e+00 
 1.000e+07  3.978e+00 
 1.023e+07  3.976e+00 
 1.047e+07  3.974e+00 
 1.072e+07  3.971e+00 
 1.096e+07  3.969e+00 
 1.122e+07  3.967e+00 
 1.148e+07  3.964e+00 
 1.175e+07  3.961e+00 
 1.202e+07  3.959e+00 
 1.230e+07  3.956e+00 
 1.259e+07  3.953e+00 
 1.288e+07  3.949e+00 
 1.318e+07  3.946e+00 
 1.349e+07  3.943e+00 
 1.380e+07  3.939e+00 
 1.413e+07  3.935e+00 
 1.445e+07  3.931e+00 
 1.479e+07  3.927e+00 
 1.514e+07  3.923e+00 
 1.549e+07  3.918e+00 
 1.585e+07  3.914e+00 
 1.622e+07  3.909e+00 
 1.660e+07  3.904e+00 
 1.698e+07  3.898e+00 
 1.738e+07  3.893e+00 
 1.778e+07  3.887e+00 
 1.820e+07  3.881e+00 
 1.862e+07  3.875e+00 
 1.905e+07  3.868e+00 
 1.950e+07  3.861e+00 
 1.995e+07  3.854e+00 
 2.042e+07  3.847e+00 
 2.089e+07  3.839e+00 
 2.138e+07  3.831e+00 
 2.188e+07  3.823e+00 
 2.239e+07  3.814e+00 
 2.291e+07  3.805e+00 
 2.344e+07  3.796e+00 
 2.399e+07  3.786e+00 
 2.455e+07  3.776e+00 
 2.512e+07  3.765e+00 
 2.570e+07  3.754e+00 
 2.630e+07  3.743e+00 
 2.692e+07  3.731e+00 
 2.754e+07  3.719e+00 
 2.818e+07  3.706e+00 
 2.884e+07  3.693e+00 
 2.951e+07  3.680e+00 
 3.020e+07  3.666e+00 
 3.090e+07  3.651e+00 
 3.162e+07  3.636e+00 
 3.236e+07  3.621e+00 
 3.311e+07  3.604e+00 
 3.388e+07  3.588e+00 
 3.467e+07  3.571e+00 
 3.548e+07  3.553e+00 
 3.631e+07  3.535e+00 
 3.715e+07  3.516e+00 
 3.802e+07  3.497e+00 
 3.890e+07  3.477e+00 
 3.981e+07  3.456e+00 
 4.074e+07  3.435e+00 
 4.169e+07  3.413e+00 
 4.266e+07  3.391e+00 
 4.365e+07  3.368e+00 
 4.467e+07  3.345e+00 
 4.571e+07  3.321e+00 
 4.677e+07  3.296e+00 
 4.786e+07  3.271e+00 
 4.898e+07  3.245e+00 
 5.012e+07  3.219e+00 
 5.129e+07  3.192e+00 
 5.248e+07  3.164e+00 
 5.370e+07  3.136e+00 
 5.495e+07  3.107e+00 
 5.623e+07  3.078e+00 
 5.754e+07  3.049e+00 
 5.888e+07  3.019e+00 
 6.026e+07  2.988e+00 
 6.166e+07  2.957e+00 
 6.310e+07  2.925e+00 
 6.457e+07  2.893e+00 
 6.607e+07  2.861e+00 
 6.761e+07  2.828e+00 
 6.918e+07  2.795e+00 
 7.079e+07  2.762e+00 
 7.244e+07  2.728e+00 
 7.413e+07  2.694e+00 
 7.586e+07  2.659e+00 
 7.762e+07  2.625e+00 
 7.943e+07  2.590e+00 
 8.128e+07  2.555e+00 
 8.318e+07  2.520e+00 
 8.511e+07  2.484e+00 
 8.710e+07  2.449e+00 
 8.913e+07  2.413e+00 
 9.120e+07  2.378e+00 
 9.333e+07  2.342e+00 
 9.550e+07  2.306e+00 
 9.772e+07  2.271e+00 
 1.000e+08  2.235e+00 
 1.023e+08  2.199e+00 
 1.047e+08  2.164e+00 
 1.072e+08  2.128e+00 
 1.096e+08  2.093e+00 
 1.122e+08  2.058e+00 
 1.148e+08  2.023e+00 
 1.175e+08  1.988e+00 
 1.202e+08  1.954e+00 
 1.230e+08  1.919e+00 
 1.259e+08  1.885e+00 
 1.288e+08  1.852e+00 
 1.318e+08  1.818e+00 
 1.349e+08  1.785e+00 
 1.380e+08  1.752e+00 
 1.413e+08  1.719e+00 
 1.445e+08  1.687e+00 
 1.479e+08  1.655e+00 
 1.514e+08  1.623e+00 
 1.549e+08  1.592e+00 
 1.585e+08  1.561e+00 
 1.622e+08  1.531e+00 
 1.660e+08  1.501e+00 
 1.698e+08  1.471e+00 
 1.738e+08  1.442e+00 
 1.778e+08  1.413e+00 
 1.820e+08  1.384e+00 
 1.862e+08  1.356e+00 
 1.905e+08  1.329e+00 
 1.950e+08  1.302e+00 
 1.995e+08  1.275e+00 
 2.042e+08  1.248e+00 
 2.089e+08  1.222e+00 
 2.138e+08  1.197e+00 
 2.188e+08  1.172e+00 
 2.239e+08  1.147e+00 
 2.291e+08  1.123e+00 
 2.344e+08  1.099e+00 
 2.399e+08  1.076e+00 
 2.455e+08  1.053e+00 
 2.512e+08  1.030e+00 
 2.570e+08  1.008e+00 
 2.630e+08  9.860e-01 
 2.692e+08  9.646e-01 
 2.754e+08  9.436e-01 
 2.818e+08  9.231e-01 
 2.884e+08  9.028e-01 
 2.951e+08  8.830e-01 
 3.020e+08  8.636e-01 
 3.090e+08  8.445e-01 
 3.162e+08  8.258e-01 
 3.236e+08  8.075e-01 
 3.311e+08  7.895e-01 
 3.388e+08  7.719e-01 
 3.467e+08  7.546e-01 
 3.548e+08  7.377e-01 
 3.631e+08  7.211e-01 
 3.715e+08  7.049e-01 
 3.802e+08  6.889e-01 
 3.890e+08  6.733e-01 
 3.981e+08  6.581e-01 
 4.074e+08  6.431e-01 
 4.169e+08  6.284e-01 
 4.266e+08  6.141e-01 
 4.365e+08  6.000e-01 
 4.467e+08  5.862e-01 
 4.571e+08  5.727e-01 
 4.677e+08  5.595e-01 
 4.786e+08  5.465e-01 
 4.898e+08  5.339e-01 
 5.012e+08  5.215e-01 
 5.129e+08  5.093e-01 
 5.248e+08  4.974e-01 
 5.370e+08  4.858e-01 
 5.495e+08  4.744e-01 
 5.623e+08  4.632e-01 
 5.754e+08  4.522e-01 
 5.888e+08  4.415e-01 
 6.026e+08  4.311e-01 
 6.166e+08  4.208e-01 
 6.310e+08  4.107e-01 
 6.457e+08  4.009e-01 
 6.607e+08  3.913e-01 
 6.761e+08  3.818e-01 
 6.918e+08  3.726e-01 
 7.079e+08  3.636e-01 
 7.244e+08  3.547e-01 
 7.413e+08  3.461e-01 
 7.586e+08  3.376e-01 
 7.762e+08  3.293e-01 
 7.943e+08  3.211e-01 
 8.128e+08  3.132e-01 
 8.318e+08  3.054e-01 
 8.511e+08  2.977e-01 
 8.710e+08  2.903e-01 
 8.913e+08  2.829e-01 
 9.120e+08  2.758e-01 
 9.333e+08  2.688e-01 
 9.550e+08  2.619e-01 
 9.772e+08  2.552e-01 
 1.000e+09  2.486e-01 
 1.023e+09  2.421e-01 
 1.047e+09  2.358e-01 
 1.072e+09  2.296e-01 
 1.096e+09  2.236e-01 
 1.122e+09  2.177e-01 
 1.148e+09  2.119e-01 
 1.175e+09  2.062e-01 
 1.202e+09  2.006e-01 
 1.230e+09  1.952e-01 
 1.259e+09  1.899e-01 
 1.288e+09  1.846e-01 
 1.318e+09  1.795e-01 
 1.349e+09  1.745e-01 
 1.380e+09  1.696e-01 
 1.413e+09  1.649e-01 
 1.445e+09  1.602e-01 
 1.479e+09  1.556e-01 
 1.514e+09  1.511e-01 
 1.549e+09  1.467e-01 
 1.585e+09  1.425e-01 
 1.622e+09  1.383e-01 
 1.660e+09  1.342e-01 
 1.698e+09  1.302e-01 
 1.738e+09  1.263e-01 
 1.778e+09  1.224e-01 
 1.820e+09  1.187e-01 
 1.862e+09  1.150e-01 
 1.905e+09  1.115e-01 
 1.950e+09  1.080e-01 
 1.995e+09  1.046e-01 
 2.042e+09  1.013e-01 
 2.089e+09  9.805e-02 
 2.138e+09  9.489e-02 
 2.188e+09  9.182e-02 
 2.239e+09  8.882e-02 
 2.291e+09  8.589e-02 
 2.344e+09  8.305e-02 
 2.399e+09  8.027e-02 
 2.455e+09  7.757e-02 
 2.512e+09  7.494e-02 
 2.570e+09  7.238e-02 
 2.630e+09  6.989e-02 
 2.692e+09  6.748e-02 
 2.754e+09  6.512e-02 
 2.818e+09  6.284e-02 
 2.884e+09  6.062e-02 
 2.951e+09  5.846e-02 
 3.020e+09  5.637e-02 
 3.090e+09  5.434e-02 
 3.162e+09  5.237e-02 
 3.236e+09  5.046e-02 
 3.311e+09  4.861e-02 
 3.388e+09  4.682e-02 
 3.467e+09  4.508e-02 
 3.548e+09  4.340e-02 
 3.631e+09  4.178e-02 
 3.715e+09  4.020e-02 
 3.802e+09  3.868e-02 
 3.890e+09  3.721e-02 
 3.981e+09  3.579e-02 
 4.074e+09  3.441e-02 
 4.169e+09  3.309e-02 
 4.266e+09  3.181e-02 
 4.365e+09  3.057e-02 
 4.467e+09  2.938e-02 
 4.571e+09  2.823e-02 
 4.677e+09  2.712e-02 
 4.786e+09  2.605e-02 
 4.898e+09  2.502e-02 
 5.012e+09  2.403e-02 
 5.129e+09  2.308e-02 
 5.248e+09  2.216e-02 
 5.370e+09  2.127e-02 
 5.495e+09  2.042e-02 
 5.623e+09  1.960e-02 
 5.754e+09  1.881e-02 
 5.888e+09  1.806e-02 
 6.026e+09  1.733e-02 
 6.166e+09  1.663e-02 
 6.310e+09  1.596e-02 
 6.457e+09  1.531e-02 
 6.607e+09  1.469e-02 
 6.761e+09  1.410e-02 
 6.918e+09  1.353e-02 
 7.079e+09  1.298e-02 
 7.244e+09  1.245e-02 
 7.413e+09  1.195e-02 
 7.586e+09  1.146e-02 
 7.762e+09  1.100e-02 
 7.943e+09  1.055e-02 
 8.128e+09  1.012e-02 
 8.318e+09  9.715e-03 
 8.511e+09  9.322e-03 
 8.710e+09  8.946e-03 
 8.913e+09  8.585e-03 
 9.120e+09  8.240e-03 
 9.333e+09  7.909e-03 
 9.550e+09  7.591e-03 
 9.772e+09  7.288e-03 
 1.000e+10  6.997e-03 
